d,date,time,weekday,workday,humidity,temperature
2019-03-13 19:15:00,2019-03-13,19:15:00,2,True,56.0,5.0
2019-03-13 19:20:00,2019-03-13,19:20:00,2,True,56.0,5.0
2019-03-13 19:25:00,2019-03-13,19:25:00,2,True,56.0,5.0
2019-03-13 19:30:00,2019-03-13,19:30:00,2,True,56.0,5.0
2019-03-13 19:35:00,2019-03-13,19:35:00,2,True,56.0,5.0
2019-03-13 19:40:00,2019-03-13,19:40:00,2,True,56.0,5.0
2019-03-13 19:45:00,2019-03-13,19:45:00,2,True,56.0,5.0
2019-03-13 19:50:00,2019-03-13,19:50:00,2,True,56.0,5.0
2019-03-13 19:55:00,2019-03-13,19:55:00,2,True,56.0,5.0
2019-03-13 20:00:00,2019-03-13,20:00:00,2,True,56.0,5.0
2019-03-13 20:05:00,2019-03-13,20:05:00,2,True,56.0,5.0
2019-03-13 20:10:00,2019-03-13,20:10:00,2,True,56.0,5.0
2019-03-13 20:15:00,2019-03-13,20:15:00,2,True,56.0,5.0
2019-03-13 20:20:00,2019-03-13,20:20:00,2,True,56.0,5.0
2019-03-13 20:25:00,2019-03-13,20:25:00,2,True,56.0,5.0
2019-03-13 20:30:00,2019-03-13,20:30:00,2,True,56.0,5.0
2019-03-13 20:35:00,2019-03-13,20:35:00,2,True,56.0,5.0
2019-03-13 20:40:00,2019-03-13,20:40:00,2,True,56.0,5.0
2019-03-13 20:45:00,2019-03-13,20:45:00,2,True,56.0,5.0
2019-03-13 20:50:00,2019-03-13,20:50:00,2,True,56.0,5.0
2019-03-13 20:55:00,2019-03-13,20:55:00,2,True,56.0,5.0
2019-03-13 21:00:00,2019-03-13,21:00:00,2,True,56.0,5.0
2019-03-13 21:05:00,2019-03-13,21:05:00,2,True,56.0,5.0
2019-03-13 21:10:00,2019-03-13,21:10:00,2,True,56.0,5.0
2019-03-13 21:15:00,2019-03-13,21:15:00,2,True,65.0,3.9
2019-03-13 21:20:00,2019-03-13,21:20:00,2,True,65.0,3.9
2019-03-13 21:25:00,2019-03-13,21:25:00,2,True,65.0,3.9
2019-03-13 21:30:00,2019-03-13,21:30:00,2,True,65.0,3.9
2019-03-13 21:35:00,2019-03-13,21:35:00,2,True,65.0,3.9
2019-03-13 21:40:00,2019-03-13,21:40:00,2,True,65.0,3.9
2019-03-13 21:45:00,2019-03-13,21:45:00,2,True,65.0,3.9
2019-03-13 21:50:00,2019-03-13,21:50:00,2,True,65.0,3.9
2019-03-13 21:55:00,2019-03-13,21:55:00,2,True,65.0,3.9
2019-03-13 22:00:00,2019-03-13,22:00:00,2,True,65.0,3.9
2019-03-13 22:05:00,2019-03-13,22:05:00,2,True,65.0,3.9
2019-03-13 22:10:00,2019-03-13,22:10:00,2,True,65.0,3.9
2019-03-13 22:15:00,2019-03-13,22:15:00,2,True,60.0,3.9
2019-03-13 22:20:00,2019-03-13,22:20:00,2,True,60.0,3.9
2019-03-13 22:25:00,2019-03-13,22:25:00,2,True,60.0,3.9
2019-03-13 22:30:00,2019-03-13,22:30:00,2,True,60.0,3.9
2019-03-13 22:35:00,2019-03-13,22:35:00,2,True,60.0,3.9
2019-03-13 22:40:00,2019-03-13,22:40:00,2,True,60.0,3.9
2019-03-13 22:45:00,2019-03-13,22:45:00,2,True,60.0,3.9
2019-03-13 22:50:00,2019-03-13,22:50:00,2,True,60.0,3.9
2019-03-13 22:55:00,2019-03-13,22:55:00,2,True,60.0,3.9
2019-03-13 23:00:00,2019-03-13,23:00:00,2,True,60.0,3.9
2019-03-13 23:05:00,2019-03-13,23:05:00,2,True,60.0,3.9
2019-03-13 23:10:00,2019-03-13,23:10:00,2,True,60.0,3.9
2019-03-13 23:15:00,2019-03-13,23:15:00,2,True,60.0,3.9
2019-03-13 23:20:00,2019-03-13,23:20:00,2,True,60.0,3.9
2019-03-13 23:25:00,2019-03-13,23:25:00,2,True,60.0,3.9
2019-03-13 23:30:00,2019-03-13,23:30:00,2,True,60.0,3.9
2019-03-13 23:35:00,2019-03-13,23:35:00,2,True,60.0,3.9
2019-03-13 23:40:00,2019-03-13,23:40:00,2,True,60.0,3.9
2019-03-13 23:45:00,2019-03-13,23:45:00,2,True,60.0,3.9
2019-03-13 23:50:00,2019-03-13,23:50:00,2,True,60.0,3.9
2019-03-13 23:55:00,2019-03-13,23:55:00,2,True,60.0,3.9
2019-03-14 00:00:00,2019-03-14,00:00:00,3,True,60.0,3.9
2019-03-14 00:05:00,2019-03-14,00:05:00,3,True,60.0,3.9
2019-03-14 00:10:00,2019-03-14,00:10:00,3,True,60.0,3.9
2019-03-14 00:15:00,2019-03-14,00:15:00,3,True,64.0,2.8
2019-03-14 00:20:00,2019-03-14,00:20:00,3,True,64.0,2.8
2019-03-14 00:25:00,2019-03-14,00:25:00,3,True,64.0,2.8
2019-03-14 00:30:00,2019-03-14,00:30:00,3,True,64.0,2.8
2019-03-14 00:35:00,2019-03-14,00:35:00,3,True,64.0,2.8
2019-03-14 00:40:00,2019-03-14,00:40:00,3,True,64.0,2.8
2019-03-14 00:45:00,2019-03-14,00:45:00,3,True,60.0,3.9
2019-03-14 00:50:00,2019-03-14,00:50:00,3,True,60.0,3.9
2019-03-14 00:55:00,2019-03-14,00:55:00,3,True,60.0,3.9
2019-03-14 01:00:00,2019-03-14,01:00:00,3,True,60.0,3.9
2019-03-14 01:05:00,2019-03-14,01:05:00,3,True,60.0,3.9
2019-03-14 01:10:00,2019-03-14,01:10:00,3,True,60.0,3.9
2019-03-14 01:15:00,2019-03-14,01:15:00,3,True,56.0,3.9
2019-03-14 01:20:00,2019-03-14,01:20:00,3,True,56.0,3.9
2019-03-14 01:25:00,2019-03-14,01:25:00,3,True,56.0,3.9
2019-03-14 01:30:00,2019-03-14,01:30:00,3,True,56.0,3.9
2019-03-14 01:35:00,2019-03-14,01:35:00,3,True,56.0,3.9
2019-03-14 01:40:00,2019-03-14,01:40:00,3,True,56.0,3.9
2019-03-14 01:45:00,2019-03-14,01:45:00,3,True,60.0,3.9
2019-03-14 01:50:00,2019-03-14,01:50:00,3,True,60.0,3.9
2019-03-14 01:55:00,2019-03-14,01:55:00,3,True,60.0,3.9
2019-03-14 02:00:00,2019-03-14,02:00:00,3,True,60.0,3.9
2019-03-14 02:05:00,2019-03-14,02:05:00,3,True,60.0,3.9
